Locality,Property_Type,Furnishing_Status,Area_SqFt,BHK_Size,Bathroom_Count,Balcony_Count,Property_Age,Region,Price_Lakhs
Vile Parle East,Apartment,Unfurnished,632,2,2,2,19,Mumbai,173.3
Santacruz East,Apartment,Semi-Furnished,2919,5,5,2,33,Mumbai,831.89
Andheri East,Apartment,Unfurnished,794,3,3,1,26,Mumbai,102.97
Dahisar,Apartment,Unfurnished,1258,4,4,1,25,Mumbai,130.06
Manpada,Apartment,Unfurnished,773,3,3,1,15,MMR,66.94
Nerul,Apartment,Unfurnished,494,2,2,1,16,Navi Mumbai,72.92
Tardeo,Apartment,Unfurnished,402,1,1,2,4,MMR,173.93
Dadar West,Apartment,Semi-Furnished,710,2,2,1,10,MMR,271.8
Kalyan,Apartment,Semi-Furnished,1076,3,3,1,3,Thane,55.0
Mazgaon,Apartment,Fully Furnished,778,2,2,0,25,MMR,262.35
Bkc (Bandra-Kurla),Apartment,Unfurnished,997,3,3,3,34,MMR,636.56
Airoli,Apartment,Unfurnished,2304,5,5,1,13,Navi Mumbai,240.08
Borivali West,Apartment,Semi-Furnished,599,2,2,1,2,Mumbai,82.63
Vikhroli,Apartment,Unfurnished,856,3,3,2,5,Mumbai,174.16
Nerul,Apartment,Semi-Furnished,949,3,3,2,22,Navi Mumbai,143.2
Sewri,Apartment,Semi-Furnished,735,3,3,1,6,MMR,162.94
Sewri,Apartment,Unfurnished,1052,3,3,2,4,MMR,306.02
Vile Parle West,Apartment,Semi-Furnished,563,2,2,2,2,Mumbai,255.14
Bkc (Bandra-Kurla),Apartment,Unfurnished,1316,4,4,1,12,MMR,1021.75
Sanpada,Apartment,Unfurnished,654,2,2,2,5,Navi Mumbai,82.56
Vikhroli,Apartment,Fully Furnished,592,2,2,2,14,Mumbai,162.7
Wadala,Apartment,Semi-Furnished,621,2,2,1,13,Mumbai,268.71
Juhu,Apartment,Unfurnished,1339,4,4,2,4,Mumbai,619.54
Nala Sopara,Apartment,Semi-Furnished,933,3,3,2,18,Vasai-Virar,35.34
Chembur,Apartment,Semi-Furnished,646,2,2,2,27,Mumbai,131.41
Khar West,Apartment,Unfurnished,1698,4,4,1,21,MMR,898.21
Ghodbunder Road,Apartment,Semi-Furnished,882,3,3,1,6,MMR,81.78
Breach Candy,Apartment,Semi-Furnished,1031,3,3,0,17,MMR,755.71
Bkc (Bandra-Kurla),Apartment,Unfurnished,1518,4,4,2,22,MMR,823.42
Nerul,Apartment,Fully Furnished,1928,5,5,1,8,Navi Mumbai,266.47
Nerul,Apartment,Unfurnished,575,2,2,0,2,Navi Mumbai,87.65
Bhandup,Apartment,Unfurnished,669,2,2,1,3,Mumbai,80.28
Cuffe Parade,Apartment,Semi-Furnished,1469,4,4,0,33,MMR,865.2
Bandra East,Apartment,Unfurnished,713,3,3,2,7,Mumbai,301.69
Belapur,Apartment,Fully Furnished,1656,4,4,1,12,MMR,228.89
Khar West,Apartment,Unfurnished,666,2,2,3,7,MMR,404.7
Borivali West,Apartment,Unfurnished,686,2,2,1,11,Mumbai,150.15
Bkc (Bandra-Kurla),Apartment,Fully Furnished,1177,4,4,2,32,MMR,720.16
Powai,Apartment,Unfurnished,757,3,3,1,18,Mumbai,182.04
Mumbra,Apartment,Unfurnished,619,2,2,1,18,Thane,26.71
Virar,Apartment,Fully Furnished,1199,3,3,2,12,Vasai-Virar,54.4
Vashi,Apartment,Semi-Furnished,485,1,1,0,4,Navi Mumbai,60.98
Mahalaxmi,Apartment,Semi-Furnished,592,2,2,2,18,MMR,384.69
Kalwa,Apartment,Unfurnished,1049,3,3,1,13,Thane,50.06
Colaba,Apartment,Unfurnished,691,2,2,3,24,MMR,279.15
Nala Sopara,Apartment,Unfurnished,785,2,2,2,16,Vasai-Virar,37.47
Prabhadevi,Apartment,Unfurnished,687,2,2,0,13,Mumbai,294.06
Goregaon East,Apartment,Semi-Furnished,1369,4,4,1,21,Mumbai,273.81
Vikhroli,Apartment,Unfurnished,619,2,2,1,21,Mumbai,125.49
Borivali East,Apartment,Fully Furnished,437,2,2,1,4,Mumbai,66.1
Bhayandar,Apartment,Unfurnished,1094,3,3,1,20,Mira-Bhayandar,89.37
Matunga,Apartment,Unfurnished,579,2,2,1,3,MMR,193.43
Thane East,Apartment,Fully Furnished,393,1,1,1,4,Thane,28.88
Mazgaon,Apartment,Unfurnished,280,1,1,0,2,MMR,118.13
Bhandup,Apartment,Unfurnished,415,1,1,2,2,Mumbai,61.6
Bandra East,Apartment,Unfurnished,574,2,2,1,22,Mumbai,182.9
Airoli,Apartment,Unfurnished,622,2,2,3,12,Navi Mumbai,56.31
Seawoods,Apartment,Semi-Furnished,743,2,2,2,2,Navi Mumbai,109.27
Ghatkopar West,Apartment,Unfurnished,650,2,2,1,25,Mumbai,126.36
Nerul,Apartment,Fully Furnished,792,3,3,1,19,Navi Mumbai,114.1
Bhandup,Apartment,Unfurnished,2904,5,5,3,35,Mumbai,300.06
Mulund East,Apartment,Semi-Furnished,3067,5,5,0,6,Mumbai,506.76
Ambernath,Apartment,Semi-Furnished,787,2,2,2,4,Thane,38.96
Borivali East,Apartment,Fully Furnished,949,3,3,1,5,Mumbai,168.9
Nerul,Apartment,Unfurnished,650,2,2,3,6,Navi Mumbai,52.29
Ghodbunder Road,Apartment,Semi-Furnished,745,3,3,2,12,MMR,50.55
Bandra West,Apartment,Unfurnished,2508,5,5,2,8,Mumbai,1666.57
Prabhadevi,Apartment,Fully Furnished,352,1,1,1,31,Mumbai,227.88
Parel,Apartment,Unfurnished,520,1,1,0,8,Mumbai,256.32
Sewri,Apartment,Fully Furnished,1113,3,3,2,4,MMR,346.57
Versova,Apartment,Unfurnished,644,2,2,1,11,MMR,187.51
Kalwa,Apartment,Semi-Furnished,908,3,3,1,11,Thane,72.26
Prabhadevi,Apartment,Unfurnished,557,2,2,1,7,Mumbai,259.59
Parel,Apartment,Unfurnished,619,2,2,0,2,Mumbai,307.9
Breach Candy,Apartment,Unfurnished,1074,3,3,0,8,MMR,686.24
Mira Road,Apartment,Semi-Furnished,795,2,2,1,14,Mira-Bhayandar,70.63
Khar West,Apartment,Semi-Furnished,823,3,3,1,11,MMR,379.37
Belapur,Apartment,Semi-Furnished,937,3,3,1,33,MMR,100.27
Kandivali East,Apartment,Semi-Furnished,850,3,3,1,8,Mumbai,116.9
Ghatkopar East,Apartment,Unfurnished,1106,3,3,2,12,Mumbai,173.46
Matunga,Apartment,Semi-Furnished,492,1,1,1,3,MMR,131.39
Oshiwara,Apartment,Unfurnished,1054,3,3,1,5,MMR,282.59
Lower Parel,Apartment,Semi-Furnished,994,3,3,2,6,Mumbai,462.79
Powai,Apartment,Unfurnished,409,1,1,1,17,Mumbai,104.19
Powai,Apartment,Semi-Furnished,914,3,3,0,31,Mumbai,326.17
Byculla,Apartment,Unfurnished,741,2,2,1,20,Mumbai,177.65
Kanjurmarg,Apartment,Unfurnished,1003,3,3,2,6,MMR,161.37
Powai,Apartment,Semi-Furnished,941,3,3,3,3,Mumbai,280.8
Malad West,Apartment,Fully Furnished,1260,4,4,1,11,Mumbai,254.96
Dadar West,Apartment,Semi-Furnished,3896,5,5,0,37,MMR,1271.16
Vashi,Apartment,Unfurnished,646,2,2,1,4,Navi Mumbai,110.84
Ghodbunder Road,Apartment,Unfurnished,473,1,1,2,15,MMR,42.61
Borivali East,Apartment,Semi-Furnished,1280,4,4,2,14,Mumbai,115.74
Mira Road,Apartment,Fully Furnished,993,3,3,3,3,Mira-Bhayandar,113.02
Vikhroli,Apartment,Unfurnished,1064,3,3,0,10,Mumbai,198.12
Belapur,Apartment,Unfurnished,817,3,3,3,15,MMR,94.01
Airoli,Apartment,Unfurnished,996,3,3,2,9,Navi Mumbai,76.92
Sewri,Apartment,Unfurnished,1370,4,4,0,21,MMR,315.48
Ghansoli,Apartment,Fully Furnished,922,3,3,1,26,Navi Mumbai,68.79
Dadar West,Apartment,Semi-Furnished,649,2,2,1,36,MMR,250.0
Virar,Apartment,Fully Furnished,1115,3,3,1,29,Vasai-Virar,43.97
Malad East,Apartment,Semi-Furnished,507,1,1,0,23,Mumbai,57.28
Bandra East,Apartment,Semi-Furnished,729,2,2,1,8,Mumbai,325.41
Dahisar,Apartment,Fully Furnished,493,2,2,1,20,Mumbai,49.14
Marine Drive,Apartment,Unfurnished,620,2,2,3,6,MMR,400.62
Parel,Apartment,Fully Furnished,382,1,1,1,29,Mumbai,174.96
Kurla East,Apartment,Semi-Furnished,1029,3,3,0,6,MMR,203.24
Nerul,Apartment,Semi-Furnished,582,2,2,2,3,Navi Mumbai,67.64
Bkc (Bandra-Kurla),Apartment,Unfurnished,774,3,3,1,12,MMR,527.41
Cuffe Parade,Apartment,Semi-Furnished,690,2,2,1,12,MMR,570.84
Kurla West,Apartment,Fully Furnished,399,2,2,1,5,MMR,102.22
Pedder Road,Apartment,Fully Furnished,1279,4,4,1,14,MMR,923.08
Thane East,Apartment,Fully Furnished,345,1,1,1,20,Thane,37.1
Mira Road,Apartment,Fully Furnished,667,2,2,2,39,Mira-Bhayandar,54.48
Kandivali West,Apartment,Semi-Furnished,1949,5,5,1,7,Mumbai,279.89
Thane East,Apartment,Unfurnished,802,2,2,1,2,Thane,86.3
Ulwe,Apartment,Semi-Furnished,2278,5,5,1,36,Navi Mumbai,160.52
Borivali East,Apartment,Unfurnished,1712,4,4,1,6,Mumbai,269.66
Powai,Apartment,Fully Furnished,910,3,3,2,12,Mumbai,294.3
Cuffe Parade,Apartment,Semi-Furnished,1355,4,4,1,12,MMR,875.1
Bandra West,Apartment,Unfurnished,979,3,3,1,11,Mumbai,536.34
Badlapur,Apartment,Unfurnished,643,2,2,2,3,Thane,28.11
Panvel,Apartment,Unfurnished,743,2,2,3,9,Navi Mumbai,50.38
Mazgaon,Apartment,Unfurnished,768,2,2,0,13,MMR,249.22
Walkeshwar,Apartment,Fully Furnished,435,1,1,0,6,MMR,327.79
Mulund East,Apartment,Semi-Furnished,691,2,2,2,16,Mumbai,93.72
Vasai,Apartment,Semi-Furnished,619,2,2,2,4,Vasai-Virar,26.58
Vile Parle West,Apartment,Unfurnished,752,2,2,1,18,Mumbai,208.33
Malad West,Apartment,Unfurnished,630,2,2,1,3,Mumbai,110.59
Belapur,Apartment,Fully Furnished,468,1,1,0,40,MMR,55.88
Airoli,Apartment,Unfurnished,427,1,1,3,21,Navi Mumbai,30.22
Tardeo,Apartment,Fully Furnished,1482,4,4,2,26,MMR,867.87
Goregaon West,Apartment,Unfurnished,922,3,3,1,6,Mumbai,200.99
Nerul,Apartment,Unfurnished,392,1,1,2,2,Navi Mumbai,56.05
Worli,Apartment,Semi-Furnished,778,2,2,1,11,Mumbai,646.18
Ambernath,Apartment,Unfurnished,741,2,2,3,2,Thane,27.04
Bhayandar,Apartment,Unfurnished,514,2,2,2,34,Mira-Bhayandar,41.33
Breach Candy,Apartment,Fully Furnished,1591,4,4,1,7,MMR,1172.3
Kopar Khairane,Apartment,Unfurnished,764,2,2,2,4,MMR,81.48
Vashi,Apartment,Unfurnished,1148,4,4,1,4,Navi Mumbai,220.98
Breach Candy,Apartment,Unfurnished,566,2,2,2,22,MMR,379.89
Mazgaon,Apartment,Semi-Furnished,3213,5,5,1,14,MMR,1057.11
Parel,Apartment,Unfurnished,1730,4,4,1,20,Mumbai,726.23
Mulund West,Apartment,Fully Furnished,2258,5,5,2,15,Mumbai,268.96
Kalyan,Apartment,Unfurnished,1121,3,3,1,21,Thane,60.54
Malabar Hill,Apartment,Unfurnished,852,3,3,1,9,MMR,542.08
Bkc (Bandra-Kurla),Apartment,Semi-Furnished,410,1,1,2,2,MMR,297.33
Vikhroli,Apartment,Fully Furnished,1714,4,4,1,8,Mumbai,407.57
Tardeo,Apartment,Semi-Furnished,610,2,2,2,2,MMR,307.8
Breach Candy,Apartment,Fully Furnished,974,3,3,3,3,MMR,763.71
Mazgaon,Apartment,Unfurnished,717,2,2,1,12,MMR,191.59
Vile Parle East,Apartment,Unfurnished,612,2,2,1,12,Mumbai,168.65
Vikhroli,Apartment,Semi-Furnished,422,1,1,1,3,Mumbai,85.65
Ulwe,Apartment,Semi-Furnished,922,3,3,3,6,Navi Mumbai,57.25
Sanpada,Apartment,Unfurnished,609,2,2,2,10,Navi Mumbai,69.55
Thane East,Apartment,Fully Furnished,572,2,2,1,4,Thane,53.25
Mulund West,Apartment,Unfurnished,484,1,1,1,17,Mumbai,75.94
Versova,Apartment,Unfurnished,1434,4,4,1,15,MMR,428.44
Andheri West,Apartment,Unfurnished,943,3,3,3,13,Mumbai,249.42
Bhandup,Apartment,Semi-Furnished,1245,4,4,2,2,Mumbai,160.08
Kurla West,Apartment,Semi-Furnished,440,1,1,2,12,MMR,90.17
Andheri West,Apartment,Unfurnished,301,1,1,2,7,Mumbai,71.6
Chembur,Apartment,Semi-Furnished,424,1,1,0,6,Mumbai,98.26
Kharghar,Apartment,Fully Furnished,777,3,3,2,4,Navi Mumbai,94.36
Malad West,Apartment,Unfurnished,487,1,1,1,5,Mumbai,85.7
Santacruz East,Apartment,Unfurnished,904,3,3,3,16,Mumbai,304.6
Cuffe Parade,Apartment,Unfurnished,929,3,3,1,5,MMR,792.73
Dombivli,Apartment,Unfurnished,2232,5,5,2,12,Thane,113.11
Nala Sopara,Apartment,Fully Furnished,1000,3,3,0,10,Vasai-Virar,40.02
Seawoods,Apartment,Fully Furnished,783,2,2,0,24,Navi Mumbai,126.19
Mulund East,Apartment,Fully Furnished,746,2,2,2,17,Mumbai,122.96
Nariman Point,Apartment,Unfurnished,608,2,2,1,35,MMR,401.07
Nerul,Apartment,Semi-Furnished,369,1,1,2,17,Navi Mumbai,52.52
Kharghar,Apartment,Unfurnished,586,2,2,1,11,Navi Mumbai,64.14
Kalwa,Apartment,Unfurnished,539,2,2,2,6,Thane,29.02
Dadar East,Apartment,Unfurnished,386,1,1,0,18,MMR,129.4
Mazgaon,Apartment,Semi-Furnished,408,1,1,3,12,MMR,85.61
Versova,Apartment,Unfurnished,627,2,2,2,8,MMR,178.26
Airoli,Apartment,Unfurnished,589,2,2,2,5,Navi Mumbai,58.45
Santacruz East,Apartment,Semi-Furnished,686,2,2,1,11,Mumbai,241.02
Ghatkopar West,Apartment,Unfurnished,760,3,3,1,11,Mumbai,154.38
Worli,Apartment,Unfurnished,498,1,1,3,40,Mumbai,315.45
Parel,Apartment,Fully Furnished,609,2,2,1,18,Mumbai,219.23
Andheri East,Apartment,Fully Furnished,1445,4,4,2,2,Mumbai,392.22
Santacruz West,Apartment,Unfurnished,678,2,2,3,14,Mumbai,324.24
Ghatkopar East,Apartment,Unfurnished,1155,4,4,2,11,Mumbai,238.55
Khar West,Apartment,Fully Furnished,585,2,2,3,28,MMR,305.11
Parel,Apartment,Unfurnished,604,2,2,2,5,Mumbai,264.85
Andheri West,Apartment,Unfurnished,733,2,2,2,22,Mumbai,217.73
Oshiwara,Apartment,Unfurnished,1071,3,3,1,2,MMR,237.68
Naigaon,Apartment,Fully Furnished,794,3,3,2,18,Vasai-Virar,29.56
Ghansoli,Apartment,Unfurnished,2427,5,5,1,7,Navi Mumbai,189.97
Cuffe Parade,Apartment,Semi-Furnished,793,3,3,2,17,MMR,591.95
Vashi,Apartment,Unfurnished,711,2,2,2,39,Navi Mumbai,62.17
Dadar West,Apartment,Fully Furnished,679,2,2,2,11,MMR,254.06
Andheri East,Apartment,Unfurnished,848,2,2,2,4,Mumbai,202.31
Badlapur,Apartment,Semi-Furnished,2760,5,5,1,8,Thane,92.96
Belapur,Apartment,Fully Furnished,1509,4,4,2,14,MMR,172.34
Borivali East,Apartment,Semi-Furnished,913,3,3,2,2,Mumbai,91.43
Kandivali East,Apartment,Unfurnished,1082,3,3,2,7,Mumbai,140.04
Walkeshwar,Apartment,Unfurnished,1186,4,4,2,4,MMR,976.39
Thane West,Apartment,Unfurnished,861,3,3,1,4,Thane,84.03
Ulwe,Apartment,Fully Furnished,1319,4,4,2,27,Navi Mumbai,90.6
Naigaon,Apartment,Unfurnished,1004,3,3,0,4,Vasai-Virar,42.33
Lokhandwala,Apartment,Unfurnished,470,1,1,1,5,MMR,103.71
Marine Drive,Apartment,Unfurnished,782,3,3,1,11,MMR,569.0
Vikhroli,Apartment,Fully Furnished,1026,3,3,1,3,Mumbai,210.34
Mulund East,Apartment,Unfurnished,2282,5,5,1,30,Mumbai,250.0
Bandra West,Apartment,Unfurnished,1606,4,4,1,4,Mumbai,898.48
Manpada,Apartment,Semi-Furnished,451,1,1,2,2,MMR,38.29
Kharghar,Apartment,Unfurnished,424,1,1,1,16,Navi Mumbai,50.51
Kalwa,Apartment,Unfurnished,792,3,3,1,14,Thane,55.97
Manpada,Apartment,Semi-Furnished,663,2,2,3,33,MMR,53.66
Santacruz West,Apartment,Unfurnished,1180,3,3,3,9,Mumbai,506.33
Mulund West,Apartment,Semi-Furnished,1333,4,4,1,19,Mumbai,191.88
Ghodbunder Road,Apartment,Fully Furnished,380,1,1,1,10,MMR,37.94
Khar West,Apartment,Fully Furnished,1698,4,4,2,6,MMR,899.89
Nariman Point,Apartment,Unfurnished,983,3,3,2,3,MMR,510.41
Mahalaxmi,Apartment,Semi-Furnished,536,2,2,1,33,MMR,248.85
Wadala,Apartment,Unfurnished,1095,4,4,1,19,Mumbai,329.69
Mazgaon,Apartment,Unfurnished,439,1,1,2,6,MMR,121.1
Ghatkopar West,Apartment,Unfurnished,705,2,2,1,32,Mumbai,153.78
Juhu,Apartment,Semi-Furnished,1614,4,4,2,35,Mumbai,1004.52
Worli,Apartment,Unfurnished,1020,3,3,1,3,Mumbai,668.53
Dombivli,Apartment,Semi-Furnished,2307,5,5,1,34,Thane,107.85
Andheri East,Apartment,Unfurnished,861,3,3,1,29,Mumbai,165.08
Kurla West,Apartment,Semi-Furnished,659,2,2,2,21,MMR,155.77
Mulund East,Apartment,Fully Furnished,621,2,2,2,37,Mumbai,85.82
Malad East,Apartment,Semi-Furnished,765,2,2,2,4,Mumbai,147.86
Panvel,Apartment,Fully Furnished,725,2,2,1,9,Navi Mumbai,50.86
Mulund West,Apartment,Semi-Furnished,550,2,2,2,4,Mumbai,105.78
Nala Sopara,Apartment,Fully Furnished,764,2,2,3,11,Vasai-Virar,29.11
Kalwa,Apartment,Semi-Furnished,470,1,1,0,3,Thane,34.52
Ghatkopar West,Apartment,Unfurnished,833,3,3,2,5,Mumbai,177.44
Cuffe Parade,Apartment,Unfurnished,1227,4,4,1,5,MMR,939.51
Seawoods,Apartment,Unfurnished,430,1,1,1,21,Navi Mumbai,43.73
Mira Road,Apartment,Unfurnished,987,3,3,1,16,Mira-Bhayandar,81.48
Kurla West,Apartment,Unfurnished,484,2,2,1,10,MMR,120.93
Kopar Khairane,Apartment,Unfurnished,1396,4,4,3,14,MMR,116.08
Malad West,Apartment,Unfurnished,1323,4,4,2,7,Mumbai,190.94
Dadar West,Apartment,Unfurnished,821,2,2,1,22,MMR,387.91
Pedder Road,Apartment,Unfurnished,945,3,3,3,7,MMR,545.31
Malad East,Apartment,Unfurnished,646,2,2,0,2,Mumbai,86.93
Marine Drive,Apartment,Unfurnished,2537,5,5,3,5,MMR,1530.88
Panvel,Apartment,Semi-Furnished,457,1,1,2,34,Navi Mumbai,28.91
Virar,Apartment,Unfurnished,566,2,2,1,26,Vasai-Virar,22.45
Goregaon West,Apartment,Unfurnished,1636,5,5,0,2,Mumbai,199.29
Thane West,Apartment,Fully Furnished,726,3,3,3,7,Thane,84.28
Santacruz West,Apartment,Unfurnished,1583,4,4,2,5,Mumbai,784.86
Kalyan,Apartment,Semi-Furnished,970,3,3,1,4,Thane,66.66
Versova,Apartment,Fully Furnished,579,2,2,3,8,MMR,274.06
Bkc (Bandra-Kurla),Apartment,Semi-Furnished,1128,4,4,0,18,MMR,627.4
Vikhroli,Apartment,Unfurnished,371,1,1,0,3,Mumbai,79.97
Wadala,Apartment,Unfurnished,695,2,2,3,8,Mumbai,229.32
Vile Parle East,Apartment,Semi-Furnished,422,1,1,0,7,Mumbai,118.35
Marine Drive,Apartment,Semi-Furnished,514,2,2,2,18,MMR,316.06
Thane East,Apartment,Fully Furnished,597,2,2,2,19,Thane,73.68
Santacruz East,Apartment,Unfurnished,1019,3,3,2,33,Mumbai,303.76
Malabar Hill,Apartment,Unfurnished,564,2,2,3,40,MMR,422.62
Malad East,Apartment,Unfurnished,1488,4,4,0,7,Mumbai,276.18
Andheri East,Apartment,Semi-Furnished,868,3,3,1,6,Mumbai,206.31
Kurla East,Apartment,Semi-Furnished,1050,3,3,1,11,MMR,207.1
Andheri East,Apartment,Unfurnished,939,3,3,0,20,Mumbai,210.94
Manpada,Apartment,Unfurnished,506,1,1,1,37,MMR,43.38
Bandra West,Apartment,Semi-Furnished,1431,4,4,1,35,Mumbai,1008.7
Dahisar,Apartment,Semi-Furnished,2664,5,5,1,3,Mumbai,323.24
Ghodbunder Road,Apartment,Fully Furnished,886,3,3,1,3,MMR,101.4
Prabhadevi,Apartment,Unfurnished,886,3,3,1,10,Mumbai,513.98
Thane West,Apartment,Semi-Furnished,586,2,2,1,4,Thane,69.31
Malad East,Apartment,Semi-Furnished,2738,5,5,0,25,Mumbai,343.37
Bandra West,Apartment,Semi-Furnished,668,2,2,1,15,Mumbai,439.15
Walkeshwar,Apartment,Unfurnished,1596,4,4,2,33,MMR,1113.17
Mumbra,Apartment,Semi-Furnished,803,3,3,2,8,Thane,43.68
Panvel,Apartment,Unfurnished,687,2,2,2,12,Navi Mumbai,36.01
Lower Parel,Apartment,Unfurnished,1448,4,4,1,5,Mumbai,573.64
Borivali West,Apartment,Fully Furnished,1001,3,3,1,5,Mumbai,184.83
Bhandup,Apartment,Unfurnished,593,2,2,3,18,Mumbai,90.58
Kandivali East,Apartment,Semi-Furnished,696,2,2,1,11,Mumbai,91.89
Matunga,Apartment,Unfurnished,2538,5,5,3,2,MMR,809.15
Naigaon,Apartment,Semi-Furnished,608,2,2,1,8,Vasai-Virar,24.75
Vashi,Apartment,Unfurnished,857,3,3,0,4,Navi Mumbai,124.04
Bhayandar,Apartment,Unfurnished,586,2,2,0,6,Mira-Bhayandar,38.98
Kopar Khairane,Apartment,Fully Furnished,439,2,2,1,12,MMR,41.5
Kalyan,Apartment,Unfurnished,841,2,2,1,2,Thane,44.47
Oshiwara,Apartment,Unfurnished,712,3,3,3,31,MMR,129.37
Kharghar,Apartment,Unfurnished,953,3,3,2,19,Navi Mumbai,106.72
Santacruz West,Apartment,Unfurnished,490,1,1,0,6,Mumbai,227.01
Goregaon West,Apartment,Semi-Furnished,429,1,1,3,9,Mumbai,78.98
Ghatkopar West,Apartment,Unfurnished,571,2,2,1,5,Mumbai,129.73
Bandra West,Apartment,Fully Furnished,1407,4,4,1,7,Mumbai,892.39
Wadala,Apartment,Unfurnished,869,3,3,2,8,Mumbai,246.16
Kurla West,Apartment,Semi-Furnished,391,1,1,1,13,MMR,79.19
Mumbra,Apartment,Unfurnished,698,2,2,3,16,Thane,30.99
Thane East,Apartment,Semi-Furnished,749,2,2,1,2,Thane,68.09
Kalwa,Apartment,Unfurnished,587,2,2,1,3,Thane,41.57
Chembur,Apartment,Unfurnished,773,2,2,3,22,Mumbai,99.02
Wadala,Apartment,Unfurnished,644,2,2,1,16,Mumbai,199.3
Bkc (Bandra-Kurla),Apartment,Unfurnished,1440,4,4,1,7,MMR,897.85
Bhandup,Apartment,Unfurnished,1114,3,3,2,4,Mumbai,116.96
Vile Parle East,Apartment,Unfurnished,504,2,2,1,7,Mumbai,147.88
Goregaon East,Apartment,Unfurnished,639,2,2,0,3,Mumbai,70.22
Parel,Apartment,Semi-Furnished,664,2,2,2,2,Mumbai,266.08
Sewri,Apartment,Semi-Furnished,1106,3,3,2,6,MMR,275.46
Goregaon East,Apartment,Unfurnished,1530,4,4,1,26,Mumbai,240.8
Thane West,Apartment,Unfurnished,797,3,3,1,18,Thane,84.85
Panvel,Apartment,Fully Furnished,1517,4,4,1,16,Navi Mumbai,84.77
Panvel,Apartment,Fully Furnished,438,1,1,1,20,Navi Mumbai,30.31
Vashi,Apartment,Unfurnished,389,1,1,1,17,Navi Mumbai,66.57
Mulund West,Apartment,Unfurnished,589,2,2,2,6,Mumbai,112.15
Kandivali East,Apartment,Unfurnished,319,1,1,3,39,Mumbai,30.62
Vikhroli,Apartment,Semi-Furnished,431,1,1,1,4,Mumbai,116.71
Nerul,Apartment,Unfurnished,400,1,1,1,9,Navi Mumbai,77.93
Dadar East,Apartment,Unfurnished,3066,5,5,2,7,MMR,924.8
Kandivali West,Apartment,Unfurnished,870,3,3,0,8,Mumbai,135.19
Malabar Hill,Apartment,Unfurnished,1305,3,3,2,5,MMR,933.09
Andheri East,Apartment,Fully Furnished,790,2,2,2,3,Mumbai,264.29
Marine Drive,Apartment,Semi-Furnished,596,2,2,2,11,MMR,405.3
Kharghar,Apartment,Unfurnished,673,2,2,1,40,Navi Mumbai,44.89
Mazgaon,Apartment,Unfurnished,1002,3,3,1,10,MMR,278.63
Kandivali East,Apartment,Semi-Furnished,528,2,2,3,8,Mumbai,91.69
Powai,Apartment,Semi-Furnished,457,1,1,1,16,Mumbai,109.48
Mulund East,Apartment,Unfurnished,700,2,2,0,20,Mumbai,97.64
Chembur,Apartment,Semi-Furnished,636,2,2,2,6,Mumbai,111.11
Pedder Road,Apartment,Unfurnished,1117,4,4,1,34,MMR,773.5
Juhu,Apartment,Fully Furnished,851,3,3,1,31,Mumbai,472.13
Manpada,Apartment,Unfurnished,1351,4,4,3,4,MMR,102.02
Pedder Road,Apartment,Unfurnished,720,2,2,0,20,MMR,378.38
Chembur,Apartment,Unfurnished,654,2,2,2,12,Mumbai,135.34
Malad East,Apartment,Fully Furnished,635,2,2,2,27,Mumbai,98.74
Prabhadevi,Apartment,Semi-Furnished,3298,5,5,1,18,Mumbai,1754.16
Vile Parle West,Apartment,Unfurnished,671,2,2,1,11,Mumbai,279.47
Powai,Apartment,Unfurnished,587,2,2,2,11,Mumbai,154.86
Sewri,Apartment,Unfurnished,1861,5,5,1,5,MMR,497.23
Kandivali East,Apartment,Semi-Furnished,1066,3,3,0,19,Mumbai,134.48
Mumbra,Apartment,Fully Furnished,760,3,3,1,2,Thane,50.86
Kalyan,Apartment,Semi-Furnished,378,1,1,1,26,Thane,23.73
Mulund East,Apartment,Unfurnished,958,3,3,0,10,Mumbai,126.28
Bhandup,Apartment,Unfurnished,633,2,2,1,2,Mumbai,98.05
Dadar East,Apartment,Unfurnished,1325,4,4,1,11,MMR,373.58
Ulwe,Apartment,Semi-Furnished,356,1,1,1,11,Navi Mumbai,21.06
Pedder Road,Apartment,Unfurnished,1132,3,3,2,3,MMR,854.05
Kurla West,Apartment,Unfurnished,371,1,1,2,7,MMR,80.54
Panvel,Apartment,Unfurnished,414,1,1,1,10,Navi Mumbai,22.36
Ghansoli,Apartment,Semi-Furnished,1133,3,3,0,37,Navi Mumbai,98.41
Vikhroli,Apartment,Unfurnished,831,2,2,1,5,Mumbai,144.71
Ghansoli,Apartment,Unfurnished,442,1,1,1,10,Navi Mumbai,48.75
Mazgaon,Apartment,Semi-Furnished,884,3,3,1,3,MMR,239.76
Mumbra,Apartment,Semi-Furnished,794,3,3,2,33,Thane,34.98
Andheri West,Apartment,Unfurnished,413,1,1,1,7,Mumbai,105.51
Malad West,Apartment,Unfurnished,343,1,1,2,8,Mumbai,56.16
Kalwa,Apartment,Semi-Furnished,496,1,1,1,11,Thane,33.94
Kandivali West,Apartment,Semi-Furnished,715,2,2,1,22,Mumbai,113.04
Dadar West,Apartment,Unfurnished,671,2,2,2,7,MMR,297.63
Mulund East,Apartment,Semi-Furnished,607,2,2,1,2,Mumbai,59.45
Wadala,Apartment,Semi-Furnished,921,3,3,1,5,Mumbai,285.9
